Value,Month,Year
0.061363964,1,1980
-0.06000437,2,1980
-0.074087711,3,1980
0.152490852,4,1980
0.203523907,5,1980
0.772903165,6,1980
0.721889868,7,1980
0.401772885,8,1980
0.246607381,9,1980
0.994602383,10,1980
1.222138086,11,1980
1.245763224,12,1980
1.586627023,1,1981
1.943350581,2,1981
1.884319505,3,1981
1.869706616,4,1981
1.935825586,5,1981
1.536433448,6,1981
1.426478519,7,1981
1.623552954,8,1981
1.71282917,9,1981
0.986293592,10,1981
0.658969721,11,1981
0.526441524,12,1981
0.01013986,1,1982
-0.164149726,2,1982
-0.045840419,3,1982
-0.10408195,4,1982
0.61656371,5,1982
0.099918814,6,1982
0.256672794,7,1982
0.164852831,8,1982
-0.096598672,9,1982
-0.072556332,10,1982
-0.033616996,11,1982
0.061358672,12,1982
0.121508471,1,1983
0.234018553,2,1983
0.507446926,3,1983
0.762867632,4,1983
0.393783349,5,1983
0.904364321,6,1983
0.590851279,7,1983
0.988848826,8,1983
1.36040406,9,1983
1.24166103,10,1983
0.981312088,11,1983
0.771244246,12,1983
0.64157283,1,1984
0.454626468,2,1984
0.065295793,3,1984
-0.477527431,4,1984
-0.569846692,5,1984
-0.302068737,6,1984
-0.4418995,7,1984
-0.692432249,8,1984
-1.296432127,9,1984
-1.141639725,10,1984
-0.972295195,11,1984
-0.991843568,12,1984
-0.89150474,1,1985
-0.876628617,2,1985
-0.653015592,3,1985
-0.270404012,4,1985
-0.639495794,5,1985
-1.120111333,6,1985
-0.464685912,7,1985
-0.520571747,8,1985
-0.249450033,9,1985
-0.316529857,10,1985
-0.355287218,11,1985
-0.435327749,12,1985
-0.427320951,1,1986
-0.389289943,2,1986
-0.564101789,3,1986
-0.81103271,4,1986
-0.978591948,5,1986
-0.640318853,6,1986
-1.315654256,7,1986
-1.437158905,8,1986
-1.067555635,9,1986
-0.681286268,10,1986
-0.565539549,11,1986
0.082111271,12,1986
-0.051658183,1,1987
0.207072938,2,1987
0.155243125,3,1987
0.490751381,4,1987
0.915608486,5,1987
0.666686184,6,1987
1.107233966,7,1987
1.355790114,8,1987
1.052668915,9,1987
1.159619975,10,1987
1.07788116,11,1987
0.617293655,12,1987
0.638260968,1,1988
0.595372995,2,1988
0.709184982,3,1988
0.550410135,4,1988
0.474117208,5,1988
0.341922878,6,1988
0.382634865,7,1988
0.151839634,8,1988
0.020281693,9,1988
-0.443958999,10,1988
-0.180910151,11,1988
-0.126285829,12,1988
0.126031635,1,1989
-0.030256847,2,1989
-0.256555753,3,1989
-0.064529976,4,1989
0.569995767,5,1989
0.469802986,6,1989
0.380170797,7,1989
0.833788667,8,1989
0.967622221,9,1989
1.260771794,10,1989
1.145688324,11,1989
1.981630622,12,1989
1.96339374,1,1990
1.762085309,2,1990
1.7571457,3,1990
1.43232766,4,1990
0.653546963,5,1990
0.394357987,6,1990
0.394146901,7,1990
0.689230638,8,1990
0.82468714,9,1990
0.583941051,10,1990
0.592203897,11,1990
-0.156627502,12,1990
-0.313524317,1,1991
0.396505331,2,1991
0.525514197,3,1991
0.588578527,4,1991
0.447695973,5,1991
0.721321626,6,1991
1.373882591,7,1991
1.085439617,8,1991
0.494043443,9,1991
0.679777008,10,1991
0.473110516,11,1991
0.612640242,12,1991
0.562744771,1,1992
0.0770933,2,1992
0.300547755,3,1992
0.56789693,4,1992
0.856902939,5,1992
0.960531211,6,1992
0.612995611,7,1992
-0.050046377,8,1992
0.059102758,9,1992
0.165038645,10,1992
0.168035503,11,1992
0.2936748,12,1992
0.429444557,1,1993
0.25804253,2,1993
0.385743928,3,1993
0.277720361,4,1993
0.38143255,5,1993
0.436085329,6,1993
0.075999384,7,1993
0.202978513,8,1993
0.247039018,9,1993
-0.334181975,10,1993
-0.225799101,11,1993
-0.359166279,12,1993
-0.383343339,1,1994
-0.254480558,2,1994
-0.817920984,3,1994
-0.876486725,4,1994
-1.152325879,5,1994
-1.252323404,6,1994
-1.179001533,7,1994
-1.05139688,8,1994
-1.208007786,9,1994
-1.037183715,10,1994
-1.177425608,11,1994
-1.200325096,12,1994
-1.39414637,1,1995
-1.26494013,2,1995
-0.985754599,3,1995
-0.871230068,4,1995
-0.699293756,5,1995
-0.717725495,6,1995
-0.124185281,7,1995
-0.314846677,8,1995
0.127556245,9,1995
0.38848408,10,1995
0.366340208,11,1995
0.326227513,12,1995
0.333898042,1,1996
0.095641251,2,1996
-0.091778668,3,1996
-0.127124512,4,1996
-0.255945366,5,1996
-0.276339755,6,1996
-1.0483372,7,1996
-0.654895637,8,1996
-1.107497208,9,1996
-1.381703794,10,1996
-1.357806185,11,1996
-1.421318161,12,1996
-1.137971481,1,1997
-1.295959141,2,1997
-1.217377002,3,1997
-1.078330895,4,1997
-1.281929142,5,1997
-0.703678931,6,1997
-0.521395294,7,1997
-0.579744963,8,1997
-0.490556291,9,1997
0.013453322,10,1997
-0.057971761,11,1997
-0.223107347,12,1997
-0.444460942,1,1998
-0.397071006,2,1998
-0.324095534,3,1998
-0.575967047,4,1998
-0.882702457,5,1998
-1.645162109,6,1998
-1.585964559,7,1998
-1.200499709,8,1998
-1.232310685,9,1998
-1.350483591,10,1998
-1.605469859,11,1998
-1.617054214,12,1998
-1.438206127,1,1999
-1.556322901,2,1999
-1.692469697,3,1999
-1.797722833,4,1999
-1.488151191,5,1999
-1.427411299,6,1999
-1.592458946,7,1999
-2.01307439,8,1999
-2.049236551,9,1999
-1.783878156,10,1999
-1.521941769,11,1999
-1.416158377,12,1999
-1.504725381,1,2000
-1.362012571,2,2000
-1.4157089,3,2000
-1.252779484,4,2000
-1.177588499,5,2000
-0.914338284,6,2000
-0.899592667,7,2000
-1.00114539,8,2000
-1.220413966,9,2000
-1.497641571,10,2000
-1.715523613,11,2000
-1.977102677,12,2000
-1.931357131,1,2001
-1.961904465,2,2001
-1.819137576,3,2001
-1.841789626,4,2001
-1.878954862,5,2001
-1.858436938,6,2001
-1.682132947,7,2001
-1.251623637,8,2001
-0.512257452,9,2001
-0.199332251,10,2001
0.444896272,11,2001
0.667633216,12,2001
0.420986182,1,2002
0.397319208,2,2002
0.775001636,3,2002
0.65839858,4,2002
0.702230843,5,2002
0.719908232,6,2002
0.454650541,7,2002
0.477356476,8,2002
-0.32975112,9,2002
-0.211832401,10,2002
-0.922169121,11,2002
-0.843352892,12,2002
-0.903413936,1,2003
-0.799278539,2,2003
-1.141090756,3,2003
-1.146143569,4,2003
-1.299782963,5,2003
-1.205290463,6,2003
-1.204523927,7,2003
-1.227278641,8,2003
-1.061429262,9,2003
-1.122661561,10,2003
-0.994186869,11,2003
-0.891933851,12,2003
-0.51813953,1,2004
-0.958921895,2,2004
-0.729762044,3,2004
-0.794504698,4,2004
-0.557476806,5,2004
-0.694155666,6,2004
-0.656758733,7,2004
-0.735833932,8,2004
-0.583777943,9,2004
-0.265243997,10,2004
-0.037371898,11,2004
-0.427345575,12,2004
-0.749866265,1,2005
-0.443865249,2,2005
-0.856196687,3,2005
-0.62598723,4,2005
-1.007847129,5,2005
-0.725738386,6,2005
-0.374174742,7,2005
-0.064153753,8,2005
-0.537767876,9,2005
-0.192107607,10,2005
-0.538456296,11,2005
-0.463722252,12,2005
