Value,Month,Year
1.081214262,1,1980
1.352184321,2,1980
1.266096647,3,1980
1.351014248,4,1980
1.665022825,5,1980
1.827078731,6,1980
1.331942555,7,1980
1.375584517,8,1980
1.608727751,9,1980
1.861277367,10,1980
2.36429405,11,1980
2.748362294,12,1980
2.549203305,1,1981
2.584652049,2,1981
2.464119639,3,1981
2.252838426,4,1981
1.673734926,5,1981
1.618291636,6,1981
1.798725815,7,1981
1.72838334,8,1981
1.666576757,9,1981
1.262543507,10,1981
1.582322752,11,1981
0.763994985,12,1981
0.529518629,1,1982
0.153110145,2,1982
0.544708955,3,1982
0.88487565,4,1982
1.625171253,5,1982
1.060447447,6,1982
0.915952327,7,1982
0.325466634,8,1982
0.054805448,9,1982
-0.115695728,10,1982
0.34869556,11,1982
0.747254931,12,1982
1.056776473,1,1983
1.424025812,2,1983
1.601660521,3,1983
1.532002343,4,1983
1.155373785,5,1983
1.744812439,6,1983
1.81072659,7,1983
1.85885162,8,1983
1.998271877,9,1983
2.188514444,10,1983
1.865920185,11,1983
1.624700209,12,1983
1.02120407,1,1984
0.654470303,2,1984
-0.075585825,3,1984
-0.708123901,4,1984
-0.611987782,5,1984
-0.440160463,6,1984
-1.09935481,7,1984
-1.138984671,8,1984
-1.313880119,9,1984
-1.083751867,10,1984
-0.654757022,11,1984
-0.792699331,12,1984
-0.136807001,1,1985
-0.300131242,2,1985
0.359231282,3,1985
0.903496395,4,1985
0.488895057,5,1985
-0.450535025,6,1985
0.01253272,7,1985
0.427128248,8,1985
0.729386414,9,1985
0.473105359,10,1985
0.304901821,11,1985
0.147944408,12,1985
0.253279233,1,1986
0.361087675,2,1986
0.028361994,3,1986
-0.442246916,4,1986
-0.44061388,5,1986
-0.113516697,6,1986
-0.539047579,7,1986
-1.193937937,8,1986
-0.846285802,9,1986
-0.655289207,10,1986
-1.080203242,11,1986
-0.709307403,12,1986
-0.881062683,1,1987
-0.399672872,2,1987
-0.786811221,3,1987
-0.470653949,4,1987
-0.194363227,5,1987
-0.518131929,6,1987
-0.158636485,7,1987
0.345750517,8,1987
-0.146955619,9,1987
0.00254412,10,1987
0.374311154,11,1987
-0.285421915,12,1987
-0.393570555,1,1988
-0.644698565,2,1988
-0.333839955,3,1988
-0.019367904,4,1988
0.110411174,5,1988
0.255652407,6,1988
0.351211503,7,1988
0.793013764,8,1988
0.913247161,9,1988
0.588044869,10,1988
0.585707306,11,1988
0.886474508,12,1988
1.351628731,1,1989
1.401519213,2,1989
1.313166677,3,1989
1.197254798,4,1989
1.54388755,5,1989
1.40983639,6,1989
1.430073895,7,1989
0.705790788,8,1989
0.828637776,9,1989
1.176155783,10,1989
1.169485629,11,1989
1.852052948,12,1989
1.570473074,1,1990
1.195100028,2,1990
1.576511592,3,1990
1.459259034,4,1990
0.715626701,5,1990
0.761535421,6,1990
0.62789617,7,1990
0.950537656,8,1990
1.308685877,9,1990
1.257039726,10,1990
1.179762879,11,1990
0.267978422,12,1990
0.280001293,1,1991
0.894696105,2,1991
0.580283397,3,1991
0.222034988,4,1991
-0.122946874,5,1991
