Date,Value
1980-01-01,0.061363964
1980-02-01,-0.06000437
1980-03-01,-0.074087711
1980-04-01,0.152490852
1980-05-01,0.203523907
1980-06-01,0.772903165
1980-07-01,0.721889868
1980-08-01,0.401772885
1980-09-01,0.246607381
1980-10-01,0.994602383
1980-11-01,1.222138086
1980-12-01,1.245763224
1981-01-01,1.586627023
1981-02-01,1.943350581
1981-03-01,1.884319505
1981-04-01,1.869706616
1981-05-01,1.935825586
1981-06-01,1.536433448
1981-07-01,1.426478519
1981-08-01,1.623552954
1981-09-01,1.71282917
1981-10-01,0.986293592
1981-11-01,0.658969721
1981-12-01,0.526441524
1982-01-01,0.01013986
1982-02-01,-0.164149726
1982-03-01,-0.045840419
1982-04-01,-0.10408195
1982-05-01,0.61656371
1982-06-01,0.099918814
1982-07-01,0.256672794
1982-08-01,0.164852831
1982-09-01,-0.096598672
1982-10-01,-0.072556332
1982-11-01,-0.033616996
1982-12-01,0.061358672
1983-01-01,0.121508471
1983-02-01,0.234018553
1983-03-01,0.507446926
1983-04-01,0.762867632
1983-05-01,0.393783349
1983-06-01,0.904364321
1983-07-01,0.590851279
1983-08-01,0.988848826
1983-09-01,1.36040406
1983-10-01,1.24166103
1983-11-01,0.981312088
1983-12-01,0.771244246
1984-01-01,0.64157283
1984-02-01,0.454626468
1984-03-01,0.065295793
1984-04-01,-0.477527431
1984-05-01,-0.569846692
1984-06-01,-0.302068737
1984-07-01,-0.4418995
1984-08-01,-0.692432249
1984-09-01,-1.296432127
1984-10-01,-1.141639725
1984-11-01,-0.972295195
1984-12-01,-0.991843568
1985-01-01,-0.89150474
1985-02-01,-0.876628617
1985-03-01,-0.653015592
1985-04-01,-0.270404012
1985-05-01,-0.639495794
1985-06-01,-1.120111333
1985-07-01,-0.464685912
1985-08-01,-0.520571747
1985-09-01,-0.249450033
1985-10-01,-0.316529857
1985-11-01,-0.355287218
1985-12-01,-0.435327749
1986-01-01,-0.427320951
1986-02-01,-0.389289943
1986-03-01,-0.564101789
1986-04-01,-0.81103271
1986-05-01,-0.978591948
1986-06-01,-0.640318853
1986-07-01,-1.315654256
1986-08-01,-1.437158905
1986-09-01,-1.067555635
1986-10-01,-0.681286268
1986-11-01,-0.565539549
1986-12-01,0.082111271
1987-01-01,-0.051658183
1987-02-01,0.207072938
1987-03-01,0.155243125
1987-04-01,0.490751381
1987-05-01,0.915608486
1987-06-01,0.666686184
1987-07-01,1.107233966
1987-08-01,1.355790114
1987-09-01,1.052668915
1987-10-01,1.159619975
1987-11-01,1.07788116
1987-12-01,0.617293655
1988-01-01,0.638260968
1988-02-01,0.595372995
1988-03-01,0.709184982
1988-04-01,0.550410135
1988-05-01,0.474117208
1988-06-01,0.341922878
1988-07-01,0.382634865
1988-08-01,0.151839634
1988-09-01,0.020281693
1988-10-01,-0.443958999
1988-11-01,-0.180910151
1988-12-01,-0.126285829
1989-01-01,0.126031635
1989-02-01,-0.030256847
1989-03-01,-0.256555753
1989-04-01,-0.064529976
